[2026-07-17 21:46:16.809] DEBUG MemoAlign:23  _load_raw 入口 | file=D:\Work_Area\Python\checkdoc\src\keywords_data.json
[2026-07-17 21:46:16.811] DEBUG MemoAlign:29  _load_raw 出口 | sections=7
[2026-07-17 21:46:16.811] DEBUG MemoAlign:23  _load_raw 入口 | file=D:\Work_Area\Python\checkdoc\src\keywords_data.json
[2026-07-17 21:46:16.811] DEBUG MemoAlign:29  _load_raw 出口 | sections=7
[2026-07-17 21:46:16.812] DEBUG MemoAlign:23  _load_raw 入口 | file=D:\Work_Area\Python\checkdoc\src\keywords_data.json
[2026-07-17 21:46:16.812] DEBUG MemoAlign:29  _load_raw 出口 | sections=7
[2026-07-17 21:46:16.812] DEBUG MemoAlign:23  _load_raw 入口 | file=D:\Work_Area\Python\checkdoc\src\keywords_data.json
[2026-07-17 21:46:16.814] DEBUG MemoAlign:29  _load_raw 出口 | sections=7
[2026-07-17 21:46:16.814] DEBUG MemoAlign:23  _load_raw 入口 | file=D:\Work_Area\Python\checkdoc\src\keywords_data.json
[2026-07-17 21:46:16.815] DEBUG MemoAlign:29  _load_raw 出口 | sections=7
[2026-07-17 21:46:16.906] DEBUG MemoAlign:35  _iter_memory_dirs 入口 | root=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8
[2026-07-17 21:46:16.908] DEBUG MemoAlign:42  _iter_memory_dirs 出口 | 命中目录数=1
[2026-07-17 21:46:16.908] INFO  MemoAlign:85  扫描完成: root=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8, 命中 MD 文件=12
[2026-07-17 21:46:16.909] DEBUG MemoAlign:321  extract 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f0.md, force_llm=False
[2026-07-17 21:46:16.909] DEBUG MemoAlign:22  _read_text 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f0.md
[2026-07-17 21:46:16.910] DEBUG MemoAlign:321  extract 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f1.md, force_llm=False
[2026-07-17 21:46:16.910] DEBUG MemoAlign:22  _read_text 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f1.md
[2026-07-17 21:46:16.910] DEBUG MemoAlign:321  extract 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f10.md, force_llm=False
[2026-07-17 21:46:16.910] DEBUG MemoAlign:22  _read_text 入口 | path=C:\Users\ht182\AppData\Local\Temp\tmp6b8nncr8\A\memory\f10.md
[2026-07-17 21:46:16.918] DEBUG MemoAlign:26  _read_text 出口 | len=46, encoding=utf-8
[2026-07-17 21:46:16.918] DEBUG MemoAlign:42  _first_heading 入口 | fallback=f0, text_len=46
[2026-07-17 21:46:16.918] DEBUG MemoAlign:26  _read_text 出口 | len=47, encoding=utf-8
[2026-07-17 21:46:16.918] DEBUG MemoAlign:79  _detect_language 入口 | text_len=46
[2026-07-17 21:46:16.918] DEBUG MemoAlign:42  _first_heading 入口 | fallback=f10, text_len=47
[2026-07-17 21:46:16.919] DEBUG MemoAlign:89  _detect_language 出口 | hits=['Python']
[2026-07-17 21:46:16.919] DEBUG MemoAlign:79  _detect_language 入口 | text_len=47
[2026-07-17 21:46:16.919] DEBUG MemoAlign:26  _read_text 出口 | len=46, encoding=utf-8
[2026-07-17 21:46:16.919] DEBUG MemoAlign:295  _normalize 入口 | type=其他
[2026-07-17 21:46:16.919] DEBUG MemoAlign:89  _detect_language 出口 | hits=['Python']
